node_id,label,name,stock_code,company_name,short_name,aliases,exchange,person_id,person_name,role_title,industry_code,industry_name,level,institution_id,institution_name,institution_type,event_id,event_type,event_name,event_time,description,confidence,policy_id,policy_name,issuer,publish_date,doc_id,title,source,url,publish_time,category
000001,Company,平安银行,000001,平安银行股份有限公司,平安银行,平安银行,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
000002,Company,万科A,000002,万科企业股份有限公司,万科A,万科A,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
000034,Company,神州数码,000034,神州数码集团股份有限公司,神州数码,上海神州数码有限公司,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
000063,Company,中兴通讯,000063,中兴通讯（香港）有限公司,中兴通讯,中兴通讯|中兴通讯股份有限公司,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
000333,Company,美的集团,000333,美的集团股份有限公司,美的集团,美的集团,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
000338,Company,潍柴动力,000338,潍柴动力股份有限公司,潍柴动力,潍柴动力,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
000651,Company,格力电器,000651,珠海格力电器股份有限公司,格力电器,格力电器,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
000661,Company,长春高新,000661,长春高新技术产业（集团）股份有限公司,长春高新,长春高新,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
000725,Company,京东方A,000725,京东方科技集团股份有限公司,京东方A,京东方A,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
000792,Company,盐湖股份,000792,青海盐湖工业股份有限公司,盐湖股份,盐湖股份,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
000858,Company,五粮液,000858,四川省宜宾五粮液集团财务有限公司,五粮液,五粮液|四川省宜宾五粮液酒厂有限公司|四川省宜宾五粮液集团有限公司|宜宾五粮液股份有限公司|宜宾五粮液酒类销售有限责任公司,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
000963,Company,华东医药,000963,华东医药股份有限公司,华东医药,华东医药,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002022,Company,科华生物,002022,上海科华生物工程股份有限公司,科华生物,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002051,Company,中工国际,002051,中工国际工程股份有限公司,中工国际,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002090,Company,金智科技,002090,江苏金智科技股份有限公司,金智科技,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002128,Company,电投能源,002128,内蒙古电投能源股份有限公司,电投能源,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002200,Company,交投生态,002200,云南交投生态科技股份有限公司,交投生态,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002241,Company,歌尔股份,002241,歌尔股份有限公司,歌尔股份,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002307,Company,北新路桥,002307,新疆北新路桥集团股份有限公司,北新路桥,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002323,Company,*ST雅博,002323,山东雅博科技股份有限公司,*ST雅博,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002350,Company,北京科锐,002350,北京科锐集团股份有限公司,北京科锐,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002371,Company,北方华创,002371,北京北方华创微电子装备有限公司,北方华创,北方华创|北方华创科技集团股份有限公司,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002376,Company,新北洋,002376,威海新北洋正棋机器人股份有限公司,新北洋,威海新北洋荣鑫科技股份有限公司|山东新北洋信息技术股份有限公司|新北洋,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002457,Company,青龙管业,002457,青龙管业集团股份有限公司,青龙管业,青龙管业,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002475,Company,立讯精密,002475,立讯精密工业股份有限公司,立讯精密,立讯精密,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002531,Company,天顺风能,002531,天顺风能（苏州）股份有限公司,天顺风能,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002541,Company,鸿路钢构,002541,安徽鸿路钢结构(集团)股份有限公司,鸿路钢构,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002586,Company,ST围海,002586,浙江省围海建设集团股份有限公司,ST围海,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002594,Company,比亚迪,002594,比亚迪股份有限公司,比亚迪,比亚迪|比亚迪客车|比亚迪股份,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
002714,Company,牧原股份,002714,牧原食品集团股份有限公司,牧原股份,,深交所,,,,,,,,,,,,,,,,,,,,,,,,,
